ENSMUSP00000020238,Hsp90b1 Grp94 Tra-1 Tra1
ENSMUSP00000029266,Anxa5 Anx5
ENSMUSP00000021062,Ddx5 mCG_2872
ENSMUSP00000021554,Actn1
ENSMUSP00000037304,Hist1h1t RP23-283N14.20-001
ENSMUSP00000026704,Cct8 Cctq
ENSMUSP00000070068,Nap1l1 Nrp
ENSMUSP00000028239,Gsn Gsb
ENSMUSP00000021001,Rab10
ENSMUSP00000117022,Nme1 Nm23
ENSMUSP00000018437,Pfn1
ENSMUSP00000021459,Rab15
ENSMUSP00000031492,Rab35
ENSMUSP00000004134,Gstm5 Fsc2 Gstm3
ENSMUSP00000116108,Tcp1 Cct1 Ccta
ENSMUSP00000064755,Phgdh
ENSMUSP00000031160,Paics
ENSMUSP00000082652,Anp32a Anp32 Lanp
ENSMUSP00000019649,Ubb
ENSMUSP00000111008,Rab3d
ENSMUSP00000024773,Prph2 Rds
ENSMUSP00000025486,Lmnb1
ENSMUSP00000031637,Ndufa4
ENSMUSP00000050374,Sfn Mkrn3
ENSMUSP00000000756,Rpl13
ENSMUSP00000041857,Rab8b
ENSMUSP00000027123,Hspd1 Hsp60
ENSMUSP00000043765,Ank2 AnkB
ENSMUSP00000020640,Rack1 Gnb2-rs1 Gnb2l1
ENSMUSP00000031447,Anxa3 Anx3
ENSMUSP00000071616,Rpl7
ENSMUSP00000049407,Hnrnpl Hnrpl
ENSMUSP00000026576,Taldo1 Tal Taldo
ENSMUSP00000005826,Cs
ENSMUSP00000020315,Cand1 D10Ertd516e Kiaa0829
ENSMUSP00000032373,Ldhb Ldh-2 Ldh2
ENSMUSP00000012348,Gstm2
ENSMUSP00000046256,Atp5h
ENSMUSP00000028222,Hspa5 Grp78
ENSMUSP00000102832,Psip1
ENSMUSP00000078630,Gss
ENSMUSP00000021217,Nme2
ENSMUSP00000032898,Ipo5 Kpnb3 Ranbp5
ENSMUSP00000074238,Hnrnpab Cbf-a Cgbfa Hnrpab
ENSMUSP00000006181,Napa Snapa
ENSMUSP00000083474,Ppp1cc
ENSMUSP00000025468,Pde6a mCG_130305
ENSMUSP00000026328,Prdx4
ENSMUSP00000020637,Canx
ENSMUSP00000015100,Ppp1cb
ENSMUSP00000000317,Ckmt1
ENSMUSP00000034301,Rab3a
ENSMUSP00000070503,Hnrnph1 Hnrph Hnrph1
ENSMUSP00000021614,Pfkp
ENSMUSP00000003121,Rab8a Mel Rab8
ENSMUSP00000072199,Dnm2
ENSMUSP00000003038,Ap2a2 Adtab
ENSMUSP00000026009,Arl3
ENSMUSP00000006137,Trap1 Hsp75
ENSMUSP00000057543,Gnai2 Gnai-2
ENSMUSP00000031456,Pde6b Mpb Pdeb rd
ENSMUSP00000034756,Anxa2 Anx2 Cal1h
ENSMUSP00000077687,Aldoart1
ENSMUSP00000027863,Atp1b1 Atp4b
ENSMUSP00000054545,Rlbp1 Cralbp
ENSMUSP00000004137,Gstm7
ENSMUSP00000032946,Rab6a Rab6 MNCb-1660
ENSMUSP00000028238,Rab14
ENSMUSP00000007130,Ctnnb1 Catnb
ENSMUSP00000015256,Slc25a13 Aralar2
ENSMUSP00000052912,Pdia6
ENSMUSP00000001716,Ddt
ENSMUSP00000032135,Rab43 1810048P08Rik mCG_141535
ENSMUSP00000021548,Rdh12
ENSMUSP00000031004,Crmp1 Dpysl1 Ulip3
ENSMUSP00000032216,Ptms
ENSMUSP00000020717,Arf5
ENSMUSP00000022429,Arf4
ENSMUSP00000001809,Pabpc1 Pabp1
ENSMUSP00000082519,Ap2a1 Adtaa Clapa1
ENSMUSP00000022322,Glud1 Glud
ENSMUSP00000068374,Map1b Mtap1b Mtap5
ENSMUSP00000059801,Pfkm Pfk-m Pfka
ENSMUSP00000110546,Atp5c1
ENSMUSP00000000001,Gnai3
ENSMUSP00000038540,Pdxk Pkh
ENSMUSP00000030090,Alad Lv
ENSMUSP00000003461,Ogdh Kiaa4192
ENSMUSP00000023760,Gpd1 Gdc-1 Gdc1 Kiaa4010
ENSMUSP00000078388,Rpl15
ENSMUSP00000047353,Atp1b2
ENSMUSP00000004673,Ndrg2 Kiaa1248 Ndr2
ENSMUSP00000070322,Syt5 Syt9
ENSMUSP00000015893,Anp32e Cpd1
ENSMUSP00000006496,Rps9
ENSMUSP00000049025,Srsf3 Sfrs3 Srp20 X16
ENSMUSP00000075150,Cox6b1 Cox6b
ENSMUSP00000070682,Ddx39b Bat1 Bat1a Uap56
ENSMUSP00000004732,Lim2
ENSMUSP00000022062,Sdha
ENSMUSP00000007708,Ppp2r1a
ENSMUSP00000018875,Ap2b1 Clapb1
ENSMUSP00000033683,Rps4x Rps4
ENSMUSP00000001480,Npepps Psa
ENSMUSP00000001051,S100a6 Cacy
ENSMUSP00000019226,Slc25a22 Gc1
ENSMUSP00000020930,Gna13 Gna-13
ENSMUSP00000061851,Ahcy
ENSMUSP00000005647,Ndufs3
ENSMUSP00000029722,Rps3a Rps3a1
ENSMUSP00000065940,Hmgb2 Hmg2
ENSMUSP00000036288,Cct2 Cctb
ENSMUSP00000025166,Cdh2
ENSMUSP00000028926,Napb Snapb
ENSMUSP00000079380,Rac1
ENSMUSP00000110531,Rps10
ENSMUSP00000022842,Cct5 Ccte Kiaa0098
ENSMUSP00000032454,Slc6a1 Gabt1 Gat-1 Gat1
